message,aid_related
RT CAREAustralia 7.0 earthquake has struck Haiti one of the world s poorest countries. Impact will be devastating. http ow.ly VSR2,0
7News Haiti earthquake story http ow.ly VVwh &lt incl news vid & image gallery.Brisbane woman missing is rachelhoffman,0
Gismis pallas_ploem earthquake heeft mensen wel wakker gekregen maar is niet zwaar. via Contentgirls,0
RT YELEHAITI The magnitude 7.0 earthquake u2013 and several very strong aftershocks u2013 struck only 10 miles from Port au Prince..,0
RT kelskalu Praying for Haiti. 7.0 magnitude earthquake. Worst 2 hit the island nation in more than 200 yrs. Hundreds of casualties ..,1
What God Has Made Crooked God and the Haiti Earthquake Or the tornadoes the hurricanes the tsunami the met. http bit.ly 6sTUfn,0
RT omarepps 7.0 earthquake hit Haiti! To help the relief process go to artistsforpeaceandjustice.com r whatever you can donate is needed!,1
God has to be saying something to us for an earthquake of that magnitude to hit one of the poorest countries in the world..#WAKEUPAMERICA,0
#dontfollowmeif you bitch behind my back non stop go bitch about Haiti Earthquake and do something to help them survive this situation !,1
Earthquake List for 10 degree Map Centered at 20 u00b0N 75 u00b0W http bit.ly 4LEdrj M7.0 u4e3b u9707 u540e uff0c u8ba131 u6b21 u4f59 u9707 M4.7 M5.7 &gt 10.0 KM Depth #HAITI Region,0
Battered by major quake Haiti braces for huge death toll A major earthquake struck southern Haiti on Tuesday . http bit.ly 8019vz,1
RT Federation RT mashable Haiti Earthquake Twitter Pictures PHOTOS http bit.ly 5YhUjG,0
RT AbuTariq711 Tragic earthquake in Haiti leaves so many dead injured and missing including UN peacekeepers and among them Jordanians ..,1
L.A. County rescuers waiting for orders to respond to Haiti earthquake http nxy.in sfydk,1
RT YELEHAITI STATEMENT BY WYCLEF JEAN ON HAITI EARTHQUAKE,1
Whew! Scared me! Thought it was an earthquake it was just really strong wind making the house creak,0
Dear Friends nplease read my blog about the earthquake in Haiti http bit.ly 8sSbTb,0
LoSoATM an earthquake un terremoto,0
Follow photomorel for a string of photos from #Haiti #earthquake via RAMHaiti,0
OMG!This is devastating.Its the biggest earthquake they ve seen in over 200yrs! And they r so poor! Gosh! God is their strength. #HaitiQuake,0
Haiti and Honduras are both suffering. However in Honduras the suffering is not caused by an earthquake but by greedy oligarchs.,0
Haitifeed.com n nKeeping you updated on status of the earthquake. news photos videos Haiti http www.haitifeed.com,0
Another earthquake this one in Haiti and Twitter is the place to go for updates & pictures http bit.ly 7iMQkh #socialmedia,0
MSNBC Major earthquake devastates Haitis capital,0
haitian earthquake is a terrible tragedy,0
RT justbeckss Okay hav i bin living under a rock?wats ths haiti tragedy.Major Earthquake,0
Chaos as major quake rocks Haiti The strongest earthquake in more than 200 years rocked Haiti on Tuesday co. http bit.ly 6BsdfZ,1
RT Federation RT mashable #Haiti Earthquake Twitter Pictures PHOTOS http bit.ly 5YhUjG n nhelp Haiti hait terremoto #haitiearthquake,0
Earthquake after earthquake! God bless you all!,0
1000s dead in earthquake in Haiti http tinyurl.com yzjox53.I think we need to stop bleating on about the weather..,1
New post In Hours After Haiti s Earthquake Silence from UN Building Codes Flashback Inner Ci http cli.gs ttQP3 http cli.gs ttQP3,0
I can only imagine people reactions over there. Because they never experienced a earthquake in they re life.,0
#UN says large number of its personnel in #Haiti are missing after earthquake,1
Haiti Earthquake Twitter Pictures Sweep Across the Web RT mashablee,0
Much of Haiti s capital destroyed by earthquake http bit.ly 8K22dZ,1
U.S. Haitians Desperate to Contact Kin Few Have Been Able to Reach Loved Ones in Earthquake Ravaged Island Nation.. http bit.ly 6fVjUx,0
theres an earthquake at haiti?,0
Twitter Carries Day Once Again on Haiti Earthquake As we ve seen in another quick breaking stories and trage.. http bit.ly 803T8T,0
Check this video out RAW VIDEO Haiti Earthquake leaves TOWN IN DUST. VERY SAD http www.youtube.com watch?v=NU8TzgMHzG4,1
Haitan Earthquake As I type this it is 8 18 am Wednesday 13th January. I u2019m watching BBC morning news and they u2019r.. http su.pr 17YpvE,1
National Briefing | West California Earthquake Damage Climbs The damage estimate from the earthquake on Satu. http bit.ly 6z8knA,0
I don t even think we have a word in creole for earthquake.,0
ONE News had *no* video footage from Haiti s earthquake tonight http www.throng.co.nz 3 news top stories one news and 3 news tonight 1,0
Real time pics of Haiti earthquake http picfog.com search Haiti viewer discretion advised,1
News Earthquake catastrophe hits Haiti Globe and Mail http bit.ly 7wQO7r n #News,0
Earthquake Hits Haiti http bit.ly 6Bj1fA #photo #photography,0
Apocalyptic thoughts v s restful night time gone to bed with Marche shakes on my mind woke up finding out the Haiti earthquake,0
Malaysians in Haiti are safe Only three Malaysians were in Haiti when a magnitude 7.0 earthquake hit the island T.. http bit.ly 4qSBeC,0
Flash haiti earthquake lane kiffin usc haiti news u2026 haiti earthquake nlane kiffin usc nhaiti news nhaiti earthqua.. http bit.ly 4yrJTn,0
The earthquake that happened in #Haiti was awful. My prayers are with the people.,0
BREAKiNG NEWS I just read about #Ha u00efti . earthquake hits 32 times in a row .We all should support those people.,1
Thousands Feared Dead as Major Quake Strikes Haiti PORT AU PRINCE Reuters A major earthquake rocked Haiti . http bit.ly 5Z5hGM,1
Frantic search for survivors after catastrophic Haiti earthquake nhttp bit.ly 6j0RCJ,1
Help Haiti #omgfacts #dontfollowmeif #nowplaying #Pleaseexplainwhy Yele Goodnight #LilTwistLoveAffair Earthquake #TeamConan,0
Help For Haiti Earthquake Aftermath. Giving Green. http rep.ly 1LxtF,1
New post In Hours After Haiti s Earthquake Silence from UN Building Codes Flashback Inner Ci http cli.gs mTRrR http cli.gs mTRrR,1
Earthquake of M 2.7 Central California,0
Wales Online Thousands feared dead in Haiti earthquake http bit.ly 85uVKw,1
interesting article written over 2 yrs ago about what would happen if an earthquake hit Port Au Prince http tiny.cc eOHl HELP HAITI,0
http bit.ly 8cwFSB http twitpic.com xw8ee Haiti hit by 7.0 Earthquake..,0
Romanian police engaged in Haiti mission are safe after devastating earthquake http bit.ly 4T5YR7,0
RT iamdiddy STATE OF EMERGENCY!!! RT PLEASE!!! u200e u200bEarthquake relief for Haiti please text cont http tl.gd 3fvkh,1
RT Milieunet Haiti Earthquake First Images PHOTOS VIDEO . http digg.com d31FTx0,0
If you ve got anything you can give for Haiti Earthquake please go to www.oxfam.org.uk Pls RT,1
Feeling wiped out by news last nite of heavy earthquake Haiti.. Why does Haiti get ALL the Sh!t? update here http tinyurl.com yc6gd5h,0
Help For Haiti Earthquake Aftermath. Giving Green. http rep.ly 1LxtG,1
My heart go out to all the people in HAITI and the familys here that were affected by the earthquake..,0
http bit.ly 8cwFSB http twitpic.com xw8ee Haiti hit by 7.0 Earthquake now is under Tsunami watch help and pray all you can.,1
RT DJEver I just made a donation to Wyclef Jean s Haiti s Earthquake Fund. here s the website www.yele.org&lt &lt so did I,1
RT CNN RT CNNiReport Magnitude 7.0 earthquake reported near Haiti. Share information and images with CNN. http bit.ly 4ilYl,0
Help For Haiti Earthquake Aftermath. Giving Green. http rep.ly 1LxtI,1
Earthquake Hits Haiti first film of horror 13 Jan 2010 http bit.ly 5kXQLY,0
Images from Haiti RT swissjourno Earthquake Hits Haiti http bit.ly 6Bj1fA #photo #photography #earthquake,0
#Tajikistan Vanj #Earthquake Situation Report #3 http tinyurl.com yegvk7d,0
7.0 earthquake in Haiti?? how come it s not yet even 2012 yet? Be safe guys.,0
RT mHefneratm RT LoSoATM What happened n HaiTi ??&gt Da Whole Situation turn ugly! Xhi Xhi.. Lmao Nah a earthquake! WrD! $hyT Brazzi,0
On Concreteloop.com NEWS MAJOR EARTHQUAKE HITS HAITI + HOW YOU CAN HELP nA Haitian woman is helped after being t.. http bit.ly 89bLdM,1
Up following the Haitian earthquake on msnbc..i m a breaking news junkie..sad but true,0
RT cnnireport iReporter shares photographs of aftermath of earthquake in Haiti http bit.ly 4wt1jm #ireport,0
Haiti after their 7.0 earthquake http twitpic.com xw8ee,0
RT cnnbrk For the latest developments on the earthquake in Haiti follow our breaking news Twitter list http bit.ly 5qXXg5,0
Watching the news & seeing all the pictures of the earthquake in Haiti so many dead so sad,1
RT ONECampaign 7.0 earthquake strikes Haiti. News and relief efforts from mercycorps RedCross SaveTheChildren worldvision CARE ht ..,1
God s Littlest Angels in Haiti Earthquake Update u2013 What Do We Do? http bit.ly 7XjK0K via tvanderwell #fb,1
Feeling for the victims of the Haiti earthquake. And Jurasse. o,0
RT cnnireport Magnitude 7.0 earthquake reported near Haiti. Share information and images with CNN http bit.ly 4ilYl #ireport,0
RT Gino1976 .. Aruba just was rocked by a small earthquake at exactly 04.15..,0
secretquark hehehhe have you experienced earthquake yet???,0
RT huffingtonpost Haiti Earthquake Relief How You Can Help http ow.ly 1mYmMZ,0
Dozed off earlier and awoke about 20 minutes ago to the news of Haiti earthquake. Hasn t Haiti been through enough already?,0
Feel sorry for the people of Hati. An Earthquake of that magnitude must be a f #kin scarey experience.,1
RT mdpr20 Just felt an earthquake here in aruba!!,0
Press release #Haiti Red Cross Red Crescent responds to devastating earthquake http www.ifrc.org,1
The Beamups Team would like to express its heartfelt condolences to those who were affected by the earthquake in Haiti.,0
reading Haiti Earthquake Possible scams malware Tue Jan 12th http bit.ly 4TytBN n #security #tech,0
L.A. County rescuers waiting for orders to respond to Haiti earthquake http nxy.in 7p2vc,1
RT msdjkr RT Federation RT mashable Haiti Earthquake Twitter Pictures PHOTOS http bit.ly 5YhUjG,0
My thoughts and prayers go out to those affected by the earthquake in #haiti..,0
Earthquake Detection Shaken Up with Twitter API Earthquake Detection Shaken Up with Twitter APINormally earthquak.. http bit.ly 8jTGFD,0
7.0 earthquake in haiti. Lots of deaths. Shit.,1
Huge earthquake wrecked Hati today the poorest country in the Americas. http bit.ly 68ZGKH,0
right now I m watching the news about the earthquake in Haiti.,0
RT stevenfurtick Currently mobilizing a team to respond to catastrophic earthquake that struck Haiti. Make an impact www.bit.ly 5m4bC ..,1
RT obiasika 7.0 earthquake over 30 aftershocks presidential & many buildings collapsed over 100k deaths projected. God help them..,1
RT wcruz73 Help for Haiti after 7.0 Earthquake updated donation list a http digg.com d31FSY9?t,1
my prayers go out to haiti after that horrific earthquake..orchestra rehearsal was good but am going to take it easy for the next few days.,0
UN Haiti headquarter collapses in earthquake n http tinyurl.com y9x5p5p,0
. haaretzonline #Israel to send rescue team to earthquake hit Haiti http j.mp 5Zn7cS http j.mp 5r26J0,0
The 1906 quake in SF? 8.0. The earthquake in Haiti? 7.0. Scary shit people. o.o,0
Yall heard about that earthquake n hati?? ...illumanati werd son,0
is wearing my #TeamConan shirt drinking coffee and watching the news. CNN International has the best coverage of the #Haiti earthquake.,0
We finally got huge tree off Monday. Before house got anymore structural damage before this new storm.still the damage is done.,0
#foodtruck to the rescue #eastvillage #nyc #sandy #ignyc #below39thStreet @gothamist @Ninth Street Espresso http : //t.co/Hq0yYNHR,0
"Sandy Takes NY Out : .. .and now the morning after , this is no lovable affair . @NYCurrent @New York http : //t.co/tqqvBf80",1
"South Fin Grill will be serving hot food to those who are in need . Soup , Pasta , Coffee & Tea .",1
Great organizational skills sorting donated goods . Worked past weekend sorting clothes and food items donated by Toledo area to fill 3 30 ' trucks . Have worked with seniors and children . Computer and office skills . Food prep . 3/4 ton truck 4x4 . My husband is retired and ready to help as well .,1
I don't have a car however I can help distribute water and clothing .,1
"I would like to help in any way that I can . Cook hot foods , donate goods , give people rides , help people find new lodging . Anything !",1
food prep yoga classes supply runs organization,0
What we thought could never happen : Dark #Streets of #Manhattan due to power outage . #sandy #d @34th Street http : //t.co/081fmHg8,1
sandy let me charge my dam phone b4 u cut my lights off .,0
Stocking up on some food before the storm ( @Western Beef ) http : //t.co/grQqaolg,0
"I 'm safe , I 'm alive .. .I 'm here. #SandySurvivor",0
"paper products , pet food , canned food , hygiene products , diapers",1
So like where 's sandy ? It 's not even raining .. .,0
Happy to help with food prep and delivery,1
"assist in distribution of food , supplies , clothing .",1
"Hi , I am from Baltimore and wanted to organize a drive for your residents and arrange a time to deliver the items . What kinds of special needs do your residents have ? I saw on nightline that many of your residents need food and clothing . Please let us know how our community can help you . Thank you in advance .",1
I can bring food and/or basic need items .,1
"I have cloths I can donate , tools food",1
Here is a list of the items we have to offer : *Men 's & Women 's coats and winter wear *Children 's coats and winter wear ( boys & girls ) *Children 's and baby toys and stuffed animals ( all new w/tags ) *Blankets ( all new w/tags ) *Toiletries/Hygiene products *Water *Cleaning supplies,1
We are in Puttsburgh but could come for a specific project or bringing food and supplies and can provide shelter for the displaced without somewhere to go,1
"Oh boy , power just went in and out .. Indication that it may go out soon. #salty #Sandy",0
the big storm Hurricane Sandy : The calm before the big storm Hurricane Sandy has necrosis and the U.S. has .. http : //t.co/dfK1xn9s,0
"Hurricane #Sandy I hate you ! ! Another day with no power , they are saying NEXT week , I 'm gon na die !",1
baby supplies or prepared foods - are sandwiches or hot pasta acceptible ?,1
"clothing , baby supplies , painkillers",1
It 's snowing .. A lot .. .. Oh HAYLL nah ! ! ! ! No ! No ! No ! #stormpart2,0
"Our family speaks russian and hebrew as well as english , and we have a car to deliver food or supplies and we have two kids who would be very handy in a soup kitchen",1
"I can make sandwiches , distribute food to people , play with kids .. .Oh , also , I live in Alphabet City ( E 7th & Ave C ) I know help is needed in that area .",1
Finally at my Uncle 's house in Brooklyn . Gon na take my first hot shower in *muffles mouth* ? Days .. #DontJudgeMe #SandyLife Night All ..,0
Wow sirens are crazy here. I guess a building may have collapsed on 15th and 8th 1 block from my apt .. . #HurricaneSandy,1
"I have baby items , non-perishable food , and hygiene products . Where can I bring them ? !",1
"also have socks , batteries , flashlights , blankets",1
We need a pump and generator . Our basement has about a foot of water .,1
"I have a big comforter , several cans of food , 4 candles , 2 large boxes of matches . Will try to gather some feminine products , etc . as well . It 's not a huge amount , but hopefully all helpful stuff !",1
this storm is no joke wtf .. .,0
Making food .. Being home during Hurricane Sandy ! : ),1
I am happy to help with whatever kind of low-skill clean-up jobs are needed .,1
Redcross came to my house and gave my family food .. . Guess were not getting power anytime soon . #sandy #RedCross,1
"looking for warm clothes .. coats , hats , gloves .. flashlights/batteries .. any advice would help ..",1
I am a computer engineer . I can help people recover data from computers damaged by flood water .,0
"Some clean up tools , medication and clothes",0
NYC consulting firm looking to donate non-perishables and supplies,1
"cooking , shlepping , cleaning , distributing food , going from door to door .",1
I havs plenty of clothes but also can bring canned items . And could make and bring some food .,1
"I wouldn't say I 'm an expert in any area above but I would be willing to help man food/water/supplies distribution , to organize supplies for distribution , and I would be willing to help clear debris and clean .",1
I can give several gallons of bottled water,1
Non-perishable food . All I can carry/afford,0
"Still need baby food , women 's shoes ( 9.5 to 10 ) and grocery type food .",1
"In case of hurricane , buy as much junk food as possible .. @ShopRite http : //t.co/GHNOaHRC",1
BB scouting team on the move .. FDR flooded .. #Sandy http : //t.co/Gvv2FQp3,1
"I am an accountant , so I could help with financial services of some type , but I would simply like to lend a strong back and/or general handyman skills . I have basic tools - but would be happy to purchase specific tools that are needed , assuming that the local hardware store or Home Depot has them .",0
I feel like this hurricane is taking us back to the olden days .. gon na go hiring a foraging for food in the forest tomorrow,1
"food preparation , supply distribution , meal distribution",0
"will bring food , donations , and whatever i can !",1
Over 25 people in line at Starbucks . People need coffee as much as they need food and gas post #Sandy ( @Starbucks ) http : //t.co/T7G3fBJg,1
"Clothing , non-perishables , pet food , hygiene products",1
"Just generally want to help out -- cleaning , packing food , etc . Thanks !",1
4 one gallon containers of water,0
Talking about the hurricane as if she is a real person is no longer funny ..,0
"i have men 's clothing , t shirts , jeans , socks and a few women 's pants . i have some canned goods and pasta as well .",1
I plan on driving up Thanksgiving morning from VA - what ever the need is at that time I hope to bring in my car - supplies / food / toys / products etc Please let me know what would be best - I will keep in touch,1
My hometown Va Beach got the most rainfall ( 9+ inches ) but least damage .. .weird how things turn out . #HurricaneSandy NYC,1
WAIT .. .. .. .. .. .. .. . so when 's the hurricane supposed to hit ? ?,1
"Blankets , batteries , baby formula , socks",1
Free food for Sandy victims @Speedway School on South Orange Ave. Newark .. . #SANDYNJ #NewarkhelpingNewark,1
New Yorkers food is the big hurricane issue . No MTA means no workers for stores . Closed bridges means limited resupply . #Sandy,1
"Going on day 6 without power . Getting the routine down . Candles , fireplace , grilling food . Gas in generator . Watch a DVD . #Sandy",0
I 'm really concerned my food is gunna go bad if I don't eat it all before the storm and the power goes out,1
6 - 1 gallon jugs of drinking water .,0
"Am happy to purchase cleaning supplies , clothing or food .",0
Possible 140 mph winds .. .Hurricane Katrina had 110 mph winds .. .needless to say I 'm already planning my evacuation list,0
Damn Sandy ruined all my family 's cars .. And also ruined the floors in my apt. At least my family is all safe and together.,0
Shower Curtain Scrubbing Bubbles/Bathroom Cleaner Dish Soap Sponges Towels and Wash Cloths Bathmats Batteries ( of all kinds ) Toilet Paper Laundry Detergent,0
"Pasta , canned food , granola bars , etc",0
"I can bring as much as I can carry in a few trips to the donation center . Whatever supplies are needed most . baby supplies , canned food , utensils , hygiene products",1
I have a box of 204 diapers . 900 wipes some canned foods . Body wash shampoo rinse,1
I can cook in large quantities to help those that need food cooked and dont have power.Be a cousler to help them file paper work for things that are lost link with churches and orginazations,1
"We can supply clothing , baby supplies , non perishables , hygiene products and perhaps tools",0
"I have children 's clothing , adult clothing , children 's toys and books and a little food .",0
"Can Help to distribute supplies , water , etc to people . Help with clean up",1
"Here at the Reece School we have collected a variety of heavy duty cleaning supplies , nonperishable food items , warm clothing , personal care items , blankets , and pet food over the course of the past two weeks . We are looking for a location to drop off these donations during the week of November 26 , 2012 . Please contact me directly to arrange a date and time . Thank you in advance for your time !",1
"Please help . We are in need of non perishable food such as rice , pasta .baby food etc . We are in dire need of cleaning supplies due to flooding/water damage Clorox wipes , sponges , Cleaning sprays . Thank you for any assistance you can provide",1
Omg i hope i dont lose power from this storm lol jk my power is still off from the hurricane,1
Aaaaand the powers gone . It was fun while it lasted . This just got real . #sandy,0
"i have a few power tools , circular saw , drill etc. , and a bunch of hand tools rachets hammers screwdrivers and hard ware screws and nails and such and painting supplies",0
All we have for trick or treat are dead batteries and chicken bones . #sandy,0
"I got batteries , flashlights , first aid and 72 hour kit . BRING IT ON #HurricaneSandy IM READY ! ! ! !",1
The storm didn't kill me . It just knocked out the power for a minimum of 7 days which includes the cell phone towers .. #alive,1
"I missed the volunteer opportunity at astoria library on sat . -- sorting , organizing , labeling , etc -- any similar opportunity coming up ?",0
Donate water clothes blankets kids toys,1
"Help with clothing , preparing meals or food boxes .",1
"Clothes ( men 's , women , s girls 6-8 , baby 0-6 ) . Some blankets , canned food , baby formula , a baby bottle , soap , toothpaste .. . Looking for more stuff . I can also donate frozen homemade baby food , it 's all veg/fruit pur√©e frozen into cubes .",1
Gut wrenching and heart warming volunteering alongside Americas ' national guard distributing food and H2O after hurricane Sandy until 7pm .,1
"My experience volunteering for Sandy church with food and supplies , if you have time take time @Kaiser Park http : //t.co/gOyTj0oJ",1
"I would like to send a box of clothes , food and toiletries to Staten Island from Washington DC . Please let me know where I can safely send these items for immediate distribution to those who need them . Thanks !",1
I would also be happy to help hand out medical supplies if needed .,1
#latenightcrew #sandy #coopfoodanddrink #hotelonrivington @Co-op Food & Drink http : //t.co/HYowDIX5,0
If anyone is having a Hurricane Sandy costume party-potluck jamboree in Brooklyn I 've got D batteries & willing to barter for drinks & grub,1
"I can donate clothing , hot meals , non-perishable foods , and hygiene products .",1
"able bodied can help distribute donations , food etc .",0
Anyone able to collect and deliver prescription meds ?,0
Sandy makes the whole city romantic : Wine and Candles . Reading books . Playing w/o screens . Long friendly chats . http : //t.co/GkPTyhHH,0
@DumboNYC : Oh no RT @endtwist : ConEd power station in #DUMBO is flooding ! #nopower #sandy,0
" @shawncarrie : We 've got a TON of extra prepared food where is it needed , and who 's got a truck ? @OccupySandy @OccupyWallSt",1
I have almost no food left in my house,1
"4 blankets , 4 coats , long sleeve shirts & sweatpants",0
warm cloths and non-perishable food,0
"administrative , food distribution",0
Have worked in food kitchens and some construction during Katrina cleanup . I can help drag branches to piles and bundle . Can work organizing donations and in distribution centers .,1
"would like to help out distributing supplies , food , etc .",1
clothes- kid and adult toys /books canned food,1
"We are organizing a group of about 15 middle school students from Community Roots Charter School in Ft. Greene , who would love to do some weekend volunteer work . They could do meal service , clothing and other donation sorting , etc . Please advise .",1
"Great .. While everyone has been out having fun , I 'm storm prepping the shore house .. & the wind is already OD down here & im by myself",0
"I am on food stamps and I have $ 66.00 worth of $ 2.00 coupons ( i.e . 33 coupons ) that can be used to purchase fresh fruits and vegetables ( not other items ) at farmers ' markets around the city . They are transferable , so I would like to donate them to Sandy victims who have access to greenmarkets and want fresh produce . The list of participating markets is at www.nyc.gov/health/farmersmarkets , or at 311 . THE COUPONS EXPIRE 11/30 , so I 'd need to send them to you soon .",1
"can of olives , can of chickpeas , bag of pasta , bag of hard pretzels , ( also have sneakers I can donate )",1
"One of our canvassers has informed us that people at the Astoria Houses need Flashlights , Batteries , Warm Clothes , Candles . It 's likely this will be a sustained need as they do not expect to have power until Monday . Please respond in the comments if you need more info , can help coordinate transport , or think you can help meet any of these needs .",1
"Hot Food- 2 Trays of Egg Casseroles for either Saturday , Nov. 10th or Sunday , Nov. 11th in the morning . Please let me know when & where this would be most useful .",1
Guys this isnt a hurricane .. This is a `` tropical like system '' . according to the news .,0
I have lots of hand and power tools as well as garden tools,0
"I have a few baby supplies ( diapers , formula , blankets ) to give as well as water and some feminine hygiene products",1
"We can't get down to volunteer but have hygiene products , non perishable food and baby supplies to donate . Please send me an address and boxes will be sent out Thursday .",1
Are bags of ice needed ? I 'll be searching your site now to see what is most needed .,1
"Toilet paper , paper towels , tissues , bottled water",0
I can make hot meals or bring blankets to people who need them . Let me know how I can help !,0
@Scamandalous yup out in Roslyn braving #Sandy and just heard a transformer explode outside ! Power still on tho,0
"candles , bottled water , art supplies for kids",0
Will donate food and clothing . Whatever is needed .,1
"I have baby/toddler sweaters and sweatshirts , a couple heavy winter jackets ( one with a foot attachment ) , blankets , and a thick fleece snow suit . I also have a scarf , gloves , and a couple of sweaters for an adult . It 's not a lot , but I don't need it out here in California . Can I mail it out to you ? I can also order diapers and wipes , batteries , etc . online if there 's a place I can send them to . Thanks .",1
"I have lots of warm clothes for women and children . I also have hygiene products , canned food , paper plates , water and pet supplies ( canned dog food also ) .",1
"Toys and books for kids under five , batteries , hygiene products , Trash bags .",1
There goes my Remote Desktop connection RT @ReutersUS : Con Edison shuts off power to part of Lower Manhattan due Sandy http : //t.co/XdkArnvR,0
"Help towards Christmas food towards meals , some gifts",1
"I am in Manhattan , I have a car and time to bring food or tools to SI ? this afternoon from 3-7pm",1
"Will these storms ever give L.I . a break ? First sandy , now a nor'easter . Still no power in long beach expected for a few wks . #c ' monman",0
Supermarket had no food #scary #hurricanesandy #nopower #instahub #instafood #instagram @Super Stop & Shop http : //t.co/hY0TRezH,1
@austeremoi It 's always good to weather the storm with good food and wine .. We 'd love to have you over,1
"cooking assistance , food prep , utensils and misc . cooking supplies .",0
"Everyone 's tweets yesterday included .. Sandy , food , and getting fat .",0
I want to help clean up . I can lift heavy things and don't mind shuffling water out of a basement,0
We have 26 boxes ( 156 candles ) of new candles . They were used as set dressing in a music video but were never lit .,0
"53 matchbooks , several flashlights , a few batteries , lots of women 's clothing , several kitchen towels , all from 2-person household located in fort greene , brooklyn .",0
New and used clothing . New toiletries . Bottled water,1
Power strips Toiletries Toilet paper,1
canned and fresh food ( apples and veggies ) diapers clothing baby supplies hygiene products toys,1
"i have general hand tools- drill , saw , etc .",0
"I am a veteran with tools ( circular saw , drill , jigsaw , drill bits/screwdriver heads , etc . ) I have nothing but time and energy to help out with whatever might be needed . I can even buy food/coffee and bring it in from Greenpoint , Brooklyn . I do not have a car , but I have a bike and can also see about chartering a car service there . Thank you : )",0
"I have non perishable food , baby supplies , hygiene products",0
Good to see @ConEdison in #newrochelle hope they get to my block soon i need #power #sandy #coned,1
"Canned soup , Mac n cheese boxes , etc",1
How do #hurricanes get their names ? .. .,0
"We have canned food and t-shirts , plus other limited clothing .",1
My favorite of the day Lawd Jesus .. . @frankieciv608 wish I had her here during the storm .. Happy Tuesday Part 2 http : //t.co/BjOweYtW,0
The apocalypse has begun .. prepare yourself .. #hurricanesandy #aftermath #apocalyptic #instagoo @Pals Cabin http : //t.co/Nz18cG2n,1
So water batteries & bread is what people bought the most due to sandy .. there is no more batteries around,0
I live near the pharmacy so can collect prescription and over-the-counter meds if needed .,1
"I am particularly concerned about seniors stuck in their apartments on upper floors and am willing ( and able ) to carry supplies up many flights of stairs . I can get to Red Hook easily by bike or bus . I am also able to cook and serve meals/wash dishes , sweep debris , whatever is needed .",1
"Water , plastic cups and plates , and blankets .",1
Eating cold Chinese food with a flash light . #sandyprobs,0
Peanut butter jelly sandwiches,0
"Happy to donate food or any needed items , help with clean-up , keep people company , etc .",0
has the hurricane started because I don't see a storm outside .. .,0
How 's everyone doing ? #Sandy,0
"20 boxes ( large ) of baby supplies , toiletries and canned food",1
Huge tree across the street just completely uprooted and fell about a foot away from our neighbors house .. Lights flickering .. Sandys here,0
We just spent $ 20 on food at the herald sq market and they refused to let us charge our phones for a few mins #boycott #sandy #nyc,0
I am happy to serve food or help with taking food to people that can't get out .,1
"-3 boxes of baby clothes , 0-3 month and 3-6 month sizes -bottles , nipples , etc . -bottle sterilizer -wipes warmer -bouncy seat -breast-feeding pillow -2 boppies -bumbo chairs -2 mobiles -other assorted baby items",0
In #ironbound looking @what #Sandy did .. .. @ironbound aka Newark http : //t.co/hpniWJW2,0
Just got ta find ants that havnt been wiped out by the snow storm .. .. .and chalk .. .,0
"Giving water , coats , blankets",1
Lights still out .. . I wan na go outside in the rain #Sandy,0
Powerless in New Jersey post-Sandy http : //t.co/olkycq7X,0
"We can help clean streets , houses , prepare and deliver food . We have a push broom and rake . We can do anything needed that 's not heavy lifting",1
The third fight I had to diffuse in a span of 24hrs .. .c'Mon people quit actin like Savages .. . #sandy,0
"Just want to help clean up . have a bunch of tools , ( shovels , ax , basic hand tools , rake , etc )",1
Baby supplies hygiene products non perishable food,0
"I can provide hot meals , non-perishable food or baby supplies . Please let me know what you need .",1
sooo not fond of #HurricaneSandy w/ her negatory vibes #flooding #poweroutage annnd to 1self flamin ' unnecessary #chinesefoodbaby,0
Food handlers license .. .12 yrs restaurant experience .. .friendly .. .patient .. .can clean .. lift decent amount of weight,0
"Batteries , cleaning supplies , razors , cough drops , wet wipes , diapers , coats , kids ' toys",1
The power is going out at my house because of hurricane sandy,1
prepared hot meals have teenagers in LES community to help superintendent and porter services laundry services,0
"Need a truck load of water ( NOT DRINKING ) to be able to start disinfecting home in Breezy Point . I have the cleaning service , but they can not begin since there is no water in Breezy Point .",0
"@AHurricaneSandy is all talk , just like irene last year .. .. I just wab my subways open",0
Just lookin ' out for my New Yorkers .. .. . @Hurricane Sandy http : //t.co/jvHC5Biw,1
"@shellyjack523 : Oh , you know , just getting ready for #Frankenstorm . Wine .. check . candles .. check . wine .. .check . sounds very good .. !",0
"We run a worker-coop grocery store in providence - we 'd live to help . We can bring down fresh vegetables , and also order essentially any natural foods you are in need of . Large bags of grains , nuts etc . Bulk peanut butter . Coffee beans ( whole or ground ) really anything . You could give us a list . We can deliver . We 've begun collecting donations at the register to anticipate when you are ready to receive gift from providence . Please give me a call when you have time to arrange . We also may be able to bring pre-made sandwich/wraps . Heck even luxury like wine we can bring it- just let us know what you need . Best of luck and blessings .",1
 @JimGaffigan : #Sandy proves there's nothing more American than buying tons of food when it's raining.,1
psychological services ( phd in psychology ) ; can lead games for kids ; can donate food,1
Sandy has changed me .. .i will never feel the same way about a dyin phone .. smh : /,0
Clothes blankets winter coats food home goids and more,1
"i have some food clothing cleaning supplies and hygiene donations . Ill be in Staten Island today , Sat Nov 10th",1
